80	8107.47	-3.2	0.6	-3.0	3.3
100	3252.6	-1.2	0	-3	3.3
150	712.53	-0.6	0	-3.2	3.3
200	244.01	-0.5	0.2	-3.4	3.5
250	104.35	-0.5	0.3	-3.6	3.7
300	51.102	-0.5	0.5	-3.9	3.9
350	27.419	-0.4	0.5	-4	4.1
400	15.719	-0.4	0.3	-4.2	4.4
450	9.4677	-0.4	0.3	-4.5	4.6
500	5.927	-0.3	0.1	-4.6	4.8
550	3.8269	-0.2	0	-4.6	5.2
600	2.5338	-0.2	0.1	-4.7	5.7
650	1.7168	-0.2	0	-4.9	5.8
700	1.1818	-0.4	0	-4.9	6.2
750	0.82489	-0.7	0	-4.9	6.8
800	0.58405	-0.5	0	-5.7	7
850	0.41821	-0.9	0.1	-5.7	7.2
900	0.30251	-0.5	0.3	-6.2	8.3
950	0.22075	-1.3	0.4	-5.7	8.5
1000	0.16227	-1	0.4	-6	9.1
1050	0.12007	-1.1	0.5	-6.3	9.4
1100	0.08934	-1.1	0.4	-6.6	10
1150	0.066901	-1.1	0.4	-7.1	10.8
1200	0.05028		-1.4	0.8	-7.3	11
1250	0.037973	-1.5	0.8	-7.7	11.6
1300	0.028847	-1.8	0.4	-9.2	11.8
1350	0.021991	-1.8	0.3	-9.1	12
1400	0.016685	-1.5	1.6	-9.1	13.9
1450	0.012766	-1.3	1.6	-8.9	14.6
